"Uwi","Producer.oilApiGravity","Core.XrdQuartz","Producer.mudPressure","Core.TOC","Core.RoMeasured","Core.GriSaturationsSo","Core.ln_formationThickness","Core.GriTotalPorosity","Rules.Prediction","Kaggle.Prediction","Target"
"42255321390000",42,15.33320515,0.589113105,3.493982769,1.067636906,30.88093975,5.108113293,7.72060057,300,19.1835645601733,20.6009771986971
"42255321400000",45,15.36181646,0.585820426,3.480015466,1.109194431,30.75705332,5.179591932,7.787735502,300,17.6161273936685,33.0498993063325
"42255321410000",39,15.65615246,0.57097067,3.412153342,1.14872653,24.339662,5.12816861,7.527402793,250,16.4476346199517,6.68648037473752
"42255321420000",42,15.37908623,0.581548423,3.49062585,1.117264339,29.92724863,5.199949972,7.883901355,300,22.3591964867438,22.8888888888889
"42255321430000",45.2,15.59240662,0.57465601,3.391309555,1.183366646,22.53509612,5.101876096,7.365502436,300,14.8261454361825,15.7334033981433
"42255321440000",40,15.33758347,0.59279998,3.505326628,1.049571289,28.07475297,5.071594284,7.929794772,250,14.6731067824836,10.8455315145814
"42255321450000",39.6,15.33739574,0.56679998,3.505331103,1.04941356,28.07968437,5.071260481,7.929039957,250,15.06887258056,7.82687140115163
"42255321460000",46.9,15.70816985,0.572118301,3.419156014,1.162973211,23.82669722,5.167236456,7.637342589,300,18.4736093780578,24.4176560704711
"42255321490000",38,15.35511649,0.587267612,3.478039188,1.102923405,30.97098973,5.167452746,7.754305463,250,18.5968695618792,26.6867642836635
"42255321500000",40.7,15.36640175,0.584810205,3.481155017,1.113410368,30.60976432,5.187689391,7.809476365,300,20.4461735244681,18.5359743040685
"42255321520000",46.5,15.70786617,0.572109713,3.419115161,1.162905123,23.82896754,5.167011477,7.636722961,300,17.5502866138979,20.8041121495327
"42255321530000",57,16.15505787,0.612924707,3.484862352,1.353469237,15.4934447,5.541190846,8.342111166,350,17.8704568389376,17.304089915704
"42255321540000",42,15.48315925,0.567448731,3.515414941,1.171559267,26.49115281,5.320132842,8.298854276,350,18.0737491142887,35.3706227522241
"42255321550000",42,15.4782462,0.567500321,3.515496962,1.167329358,26.59596177,5.312762426,8.286948574,350,18.3179774581485,21.1016268326973
"42255321560000",42,15.47355452,0.567618384,3.515322429,1.163738583,26.70150267,5.30619444,8.273942068,350,18.5943032842935,23.2364910694099
"42255321570000",42.2,15.36710382,0.584442862,3.483230951,1.112503457,30.51468728,5.187111224,7.818573834,300,20.5725745646616,14.2695806523186
"42255321580000",44.2,15.57710745,0.575350687,3.399287723,1.135390364,24.63449913,5.076074876,7.364437313,300,15.4021419853407,17.3788546255507
"42255321600000",45,15.72761967,0.572738263,3.422037399,1.168384801,23.62839436,5.183692474,7.682361563,300,14.2568863256422,18.3277037496126
"42255321630000",58,16.114288,0.624830591,3.53106165,1.430762449,15.25974603,5.701008379,8.627398553,350,14.1071420745354,6.31656804733728
"42255321640000",44.6,15.4076449,0.53560001,3.374676936,1.160271211,23.71777612,5.076923737,7.192278056,300,13.8288744591418,14.5341683146561
"42255321650000",43,15.40798553,0.57661601,3.374707537,1.160222479,23.7185802,5.076843341,7.192449297,300,13.5516180633371,14.7795459864264
"42255321660000",40,15.60699927,0.573640152,3.403809728,1.13983722,24.52971165,5.09248309,7.4191486,250,14.3281323150354,25.4223413762288
"42255321670000",40,15.39327189,0.581083621,3.472519619,1.14805357,30.3188633,5.243434241,7.883399968,250,21.4660231870607,8.37911685777019
"42255321680000",40,15.39274173,0.581535934,3.470017868,1.148410399,30.43564573,5.242743026,7.871094388,250,21.1250985368449,10.0401346452615
"42255321690000",NA,15.80761622,0.579822321,3.425860688,1.195979742,22.17520664,5.21545805,7.768331843,100,17.9344280448115,26.5852559480894
"42255321700000",49.6,15.50864163,0.574771681,3.383888867,1.170544971,23.15947136,5.086712614,7.280733356,300,16.9290082340056,14.2059976479812
"42255321710000",60,16.15740511,0.62583239,3.561829538,1.474121835,15.62034953,5.768865919,8.801998174,350,14.6169565267573,11.5247974708556
"42255321720000",55.9,16.04389391,0.572,3.44829951,1.290446811,17.74701991,5.34654652,8.02565064,350,15.8574537790356,22.1987357774968
"42255321740000",43.6,15.68835314,0.571672955,3.416025338,1.157844382,23.99331621,5.150331996,7.590354661,300,15.1991981921963,14.0771800868694
"42255321750000",41,15.58624731,0.577017126,3.418683544,1.119198593,26.31141452,5.125785911,7.522265675,300,14.359238677102,21.9315956004219
"42255321760000",44.5,15.57883577,0.576007902,3.535884295,1.193386703,23.91145924,5.384146435,8.715128333,350,20.6800422532136,24.385736196319
"42255321780000",NA,16.09981661,0.622183764,3.530122481,1.427746468,15.3789052,5.697826306,8.622037881,150,19.3327622299251,26.3420135329096
"42255321790000",44.3,15.56965664,0.574718979,3.535617922,1.191934455,24.15618228,5.380863261,8.678985104,350,20.096582578799,24.2025931928687
"42255321820000",55.8,15.02489672,0.589558888,3.337716329,1.103992691,26.06438311,5.025806154,6.902909451,300,11.8780025498928,12.5646091974121
"42255321840000",41,15.37156013,0.581933081,3.499815057,1.098862883,29.72483299,5.171517841,7.883054867,300,20.7849481375064,18.1092455298735
"42255321850000",42,15.47452727,0.56755094,3.516310401,1.16272559,26.64683617,5.305483473,8.282550592,350,19.1293301718944,36.5102084219481
"42255321860000",41.6,15.47723375,0.567459952,3.516979942,1.163539271,26.57205895,5.307684162,8.293145555,350,18.6213122412393,23.8710565318653
"42255321870000",45.8,15.22892573,0.59279998,3.378882111,0.982733499,30.04630192,4.841044269,6.777695612,200,18.9719467732379,6.781006378455
"42255321880000",40,15.38120858,0.581409623,3.488304225,1.12193763,29.9676745,5.206978077,7.885400649,250,21.6720392444116,28.1936500242366
"42255321890000",42,15.48219616,0.56735539,3.518178799,1.165664056,26.4228425,5.31282217,8.31428451,350,17.8584958190574,39.1723537604457
"42255321900000",47.8,15.22906316,0.61360001,3.378918364,0.982730559,30.04745258,4.841080202,6.777884048,200,18.6703438433652,13.5530397575325
"42255321980000",43,15.37437008,0.587695706,3.422825317,1.034946162,30.43781603,5.004875043,7.24963851,250,18.833954358863,14.4906340057637
"42255322010000",41,15.33162661,0.586621739,3.51248359,1.04051569,29.11039843,5.059036956,7.844593226,300,16.0648571223261,13.1887931034483
"42255322030000",39.8,15.31566964,0.585238465,3.463606435,1.055617468,31.9344832,5.075847478,7.520443646,250,17.1529222566757,8.05059859950305
"42255322060000",51.5,15.90800529,0.61360001,3.442067982,1.224253597,20.88900613,5.305816963,7.988483127,300,16.2141795420113,33.5002162629758
"42255322090000",43.3,15.54751069,0.572143652,3.486221653,1.24792344,24.62273487,5.417521195,8.293464059,350,19.8682386671651,28.012045773941
"42255322120000",40,15.32460383,0.581343486,3.428980577,1.015541979,31.39359222,4.977795458,7.218016966,200,18.488369806303,22.2581331065277
"42255322140000",42,15.36608591,0.579928747,3.513783055,1.06983639,28.59166338,5.123153248,7.956231173,300,19.9831858543879,7.73462852263023
"42255322150000",42,15.36793749,0.579593106,3.51384233,1.071197026,28.53310505,5.126039235,7.964361356,300,19.6784733557202,32.7100424328147
"42255322160000",34.8,16.21004146,0.609500262,3.491729377,1.413188168,13.71988282,5.535158542,8.228254496,250,6.99812144838096,0.0319849482596425
