Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,Hole Direction,Unit Well Number,Depth Total Maximum,Perforation Upper,Perforation Lower,Status Prod Current Name,Surface Latitude,Surface Longitude,Surface LL Source,Type Name,Date Completion,Date Abandonment,Play Name,Play Type
242010263740,PI,WELL,G,BRISCOE COCHINA EAST RANCH,31H,42127340980000,263740,HORIZONTAL,1,13458,8681,13303,ACTIVE,+28.36380, -99.46767,TS,ACTIVE PRODUCING-GENERAL,2011-10-06,,,
242010263751,PI,WELL,G,BRISCOE CARLA RANCH,8H,42127338560000,263751,HORIZONTAL,1,12777,7951,12636,ACTIVE,+28.34847, -99.84075,TS,ACTIVE PRODUCING-GENERAL,2011-05-07,,,
242010263850,PI,WELL,G,BRISCOE RANCH EF,1,42127339820000,263850,HORIZONTAL,1,13698,8257,13562,ACTIVE,+28.26429, -99.77239,TS,ACTIVE PRODUCING-GENERAL,2011-09-12,,,
242010263866,PI,WELL,G,ROGERS DENTONIO RANCH,3H,42127338450000,263866,HORIZONTAL,1,13249,8381,13100,ACTIVE,+28.28652, -99.91626,TS,ACTIVE PRODUCING-GENERAL,2011-04-10,,,
242010263867,PI,WELL,G,BRISCOE CATARINA NORTH,12H,42127339310000,263867,HORIZONTAL,1,13452,8630,13306,ACTIVE,+28.29295, -99.83107,TS,ACTIVE PRODUCING-GENERAL,2011-08-23,,,
242010263869,PI,WELL,G,BRISCOE CARLA RANCH,17H,42127341340000,263869,HORIZONTAL,1,12855,8115,12686,ACTIVE,+28.33005, -99.88074,TS,ACTIVE PRODUCING-GENERAL,2011-11-22,,,
242010263870,PI,WELL,G,BRISCOE CARLA RANCH,13H,42127338750000,263870,HORIZONTAL,1,13220,8209,13074,ACTIVE,+28.34382, -99.84832,TS,ACTIVE PRODUCING-GENERAL,2011-12-28,,,
242010263871,PI,WELL,G,BRISCOE CARLA RANCH,14H,42127338760000,263871,HORIZONTAL,1,12935,7938,12761,ACTIVE,+28.34382, -99.84824,TS,ACTIVE PRODUCING-GENERAL,2012-03-23,,,
242010263872,PI,WELL,G,BRISCOE CARLA RANCH,15H,42127338740000,263872,HORIZONTAL,1,13292,8476,13147,ACTIVE,+28.34382, -99.84816,TS,ACTIVE PRODUCING-GENERAL,2011-12-28,,,
242010263873,PI,WELL,G,BEINHORN RANCH,11H,42127341130000,263873,HORIZONTAL,1,14681,9169,14508,ACTIVE,+28.28038, -99.69962,TS,ACTIVE PRODUCING-GENERAL,2011-10-31,,,
