"","Entity","Uwi","Latitude","Longitude","Depth.True.Vertical","Tmax","S2","Romeasure","ClayChlo","waterporosity"
"745","1420100154804H",42177321760000,29.29933,-97.41069,11545,461.647144611248,4.31175868727327,1.22108938090842,4.55657529085521,2.51133551474041
"746","1420100154806H",42177321970000,29.29942,-97.41069,11519,461.640346815027,4.31305594816169,1.22092812555696,4.55526831166948,2.51129909622337
"747","1420100154808H",42177321940000,29.3031,-97.40671,11460,461.681331602058,4.28464594866715,1.21643214781496,4.52763556082129,2.51213785571115
"748","1420100154811H",42177322240000,29.26044,-97.52795,10139,458.002604480088,6.33452824898276,1.15741161841822,3.93279155492245,2.51836401495216
"749","1420100154891H",42177322220000,29.51284,-97.22527,11307,458.446702160924,3.35313268339433,1.0319515033508,3.93342213488506,2.85704698668787
"750","1420100154892H",42177323250000,29.51814,-97.2082,10811,459.959549082615,3.1643358466464,1.04109145986619,4.11038097972362,2.87912873490519
"751","1420100154893H",42177322410000,29.51287,-97.2253,10792,458.440964760705,3.35380829032136,1.03189881616439,3.93301791305851,2.85700470690472
"752","1420100154894H",42177323360000,29.51448,-97.22067,11367,458.838382729421,3.30312641930687,1.03419287841811,3.98163780718882,2.8630137061327
"753","1420100154895H",42177323280000,29.51609,-97.21806,11326,459.00859470549,3.28104996522423,1.03484695481739,4.00765216035412,2.8660580276594
"754","1420100154896H",42177323660000,29.52104,-97.21864,11179,458.564040610476,3.33256362657142,1.02983347720157,3.99765629040076,2.86264585417346
"755","1420100154897H",42177323330000,29.51611,-97.21802,10796,459.011565732174,3.28067318508777,1.03486140060557,4.00805991245018,2.86610521105938
"756","1420100154898H",42177323380000,29.51447,-97.22079,10791,458.82560666862,3.30470260597082,1.03410365308638,3.98033357638788,2.86285308353331
"757","1420100154899H",42177323750000,29.52106,-97.21868,10771,458.558029139478,3.33329475592164,1.0297822750613,3.99720482309003,2.86257776448534
"758","1420100154941H",42177321350000,29.19216,-97.5681,11691,462.422231425586,6.11856714668275,1.17784828458306,3.96768477137194,2.50779966771971
"759","1420100154971H",42177321340000,29.49514,-97.26187,10983,456.185475761769,3.82246655104978,1.0202297406048,3.44242271758239,2.72384712917537
"760","1420100154972H",42177322800000,29.49697,-97.25946,10929,456.23867026844,3.79016018601908,1.0201608206616,3.47659047039679,2.73834853689783
"761","1420100154991H",42177321530000,29.20227,-97.69106,8414,453.586796426313,9.48029437072831,1.02065539006734,2.16962125021608,2.46875598791453
"762","1420100155001H",42177321960000,29.26126,-97.53486,10148,457.555343148742,6.51052741972708,1.14784187300399,3.83078006491098,2.51612493995144
"763","1420100155041H",42177321450000,29.47403,-97.32164,9329,453.444040413847,4.77823803476563,1.00735094513228,2.8463540376748,2.49980198021358
"764","1420100155092H",42177321880000,29.32577,-97.40066,11435,460.399968506417,4.48267738973265,1.1800288822059,4.26495943313212,2.50894986061959
"765","1420100155093H",42177323580000,29.32335,-97.40219,11426,460.469610456331,4.47974528799223,1.18343192534095,4.28534720536343,2.5085514127758
"766","1420100155094H",42177322000100,29.32929,-97.39613,11448,460.481952561223,4.44110662373122,1.17599628504384,4.25356317815126,2.51146242768951
"767","1420100155095H",42177321990000,29.33079,-97.39446,11467,460.495692801978,4.42869407748732,1.17415732750138,4.24714339676693,2.51241649583767
"768","1420100155096H",42177321920000,29.33226,-97.3928,11381,460.510768628938,4.41612248254969,1.17235840022615,4.24124192532881,2.51341551775189
"769","1420100155171H",42177321670000,29.25517,-97.7384,7221,446.633079092406,11.9075913250503,0.904121606154705,1.40777889056517,2.56372341895691
"770","1420100155211H",42177322640000,29.50912,-97.25635,10759,455.428806627373,3.81737730511713,1.01023192874733,3.49376360012936,2.77313102481139
"771","1420100155212H",42177322650000,29.50682,-97.25908,10729,455.384087762547,3.85583026112373,1.01033323449632,3.44293216920568,2.75293247839412
"772","1420100155221H",42177321870000,29.26493,-97.73076,2760,446.33145488395,11.8151773105134,0.904180622682802,1.45415903983851,2.56782409137096
"773","14201001552310H",42177322290000,29.35094,-97.3965,11083,458.704261690142,4.74010642878641,1.14135199413242,3.97061970247256,2.50463146453492
"774","1420100155231H",42177323100000,29.34408,-97.40341,11038,458.730258151707,4.78658396952587,1.14915736363736,4.00616807405733,2.50169502731729
"775","1420100155232H",42177322260000,29.34104,-97.40276,11171,459.021521519315,4.73289614681773,1.15426265120515,4.05041719787396,2.50300385870708
"776","1420100155233H",42177323530000,29.34144,-97.40704,11117,458.666134188593,4.82417118751889,1.15169855162072,4.01305018888603,2.50011357739203
"777","1420100155234H",42177322270000,29.3429,-97.40468,11076,458.728111983178,4.79627223663482,1.15045866468592,4.01183765760322,2.50119340415827
"778","1420100155236H",42177322250000,29.3464,-97.40122,11063,458.710911397389,4.77372882060841,1.14645835872699,3.99285149814256,2.50252453476623
"779","1420100155238H",42177322280000,29.34841,-97.39919,11115,458.703724302134,4.75999307621065,1.14417433383664,3.98246913634552,2.50338323155225
"780","1420100155239H",42177323880000,29.34988,-97.39886,11129,458.610529048944,4.77287186462748,1.14202696155216,3.96604275869703,2.50318482331898
"781","1420100155241H",42177322810100,29.47922,-97.32599,9336,452.697107508318,4.91662508972015,0.999028590597287,2.74074321373829,2.4833391155368
"782","1420100155261H",42177321690000,29.26116,-97.71235,6724,447.638181498405,11.2107684278956,0.930864683271311,1.6569877086323,2.54815298588745
"783","1420100155461H",42177321540000,29.46561,-97.28258,10531,457.160399288501,3.95115703369991,1.03901155431433,3.41068714641684,2.63061218091017
"784","1420100155491H",42177322340000,29.33308,-97.3466,11768,464.434762691334,3.55909262309461,1.18040654606635,4.67550921538231,2.57540782516277
"785","1420100155492H",42177322350200,29.33368,-97.34299,11806,464.704438142472,3.50281740044551,1.17986646174555,4.70936213609519,2.58171819901492
"786","1420100155493H",42177322330000,29.33644,-97.34058,11837,464.660035300268,3.49687582147457,1.1762563878084,4.6989094671408,2.58473535880737
"787","1420100155494H",42177322360000,29.32317,-97.32371,11510,467.509369496016,3.02880640214463,1.19461877575973,5.10827673523126,2.62796942971223
"788","1420100155496H",42177322480000,29.34521,-97.3308,11672,464.692841323439,3.43954715391647,1.16578270145401,4.6858630870522,2.59861164532105
"789","1420100155497H",42177323560000,29.33398,-97.34535,11789,464.463053595912,3.54884641516106,1.17923861290299,4.67759165915749,2.57720791444733
"790","1420100155498H",42177323720000,29.33533,-97.34152,11849,464.680794972707,3.49876862594497,1.17769854502775,4.70354210771848,2.58357529081759
"791","1420100155499H",42177323730000,29.33697,-97.33994,11869,464.667172480311,3.492578670697,1.17559313815808,4.69890908620778,2.58565209814688
"792","1420100155671H",42177322870000,29.15809,-97.64044,11362,460.687424834119,7.12867541464797,1.12773262959827,3.07011764054723,2.41437009726527
"793","1420100155672H",42177323120000,29.16342,-97.64067,11392,460.183444120548,7.2594426214118,1.12178870439218,3.03749087873707,2.42098570364847
"794","1420100155673H",42177324010000,29.16764,-97.64123,11383,459.760177270659,7.37114255539692,1.11665812177191,3.00618300307123,2.42589469381552
"795","1420100155675H",42177324060000,29.16647,-97.63518,11374,460.276101067943,7.19555292275684,1.12464668827533,3.09767172706625,2.42732565365605
"796","1420100155676H",42177324960000,29.15407,-97.62636,11409,462.041118078366,6.69852511751498,1.14728845942636,3.29318850683695,2.41810133210421
"797","1420100155681H",42177321390000,29.30922,-97.45397,11021,457.897747079005,5.36695291860399,1.17258619318244,4.09987926906455,2.49640154646092
"798","1420100155684H",42177323130000,29.30481,-97.45578,10951,458.125276304501,5.34468500597461,1.17792194831935,4.14787342400825,2.49825169773806
"799","1420100155761H",42177322540000,29.28559,-97.39928,11683,463.643843991259,3.87852784826992,1.2521357192334,4.82047558471686,2.52423880152853
"800","1420100155762H",42177322520000,29.28744,-97.39827,11785,463.59448342204,3.88540639459748,1.24906946721432,4.79827158238538,2.52411694042965
"801","1420100155763H",42177322550000,29.2899,-97.39584,11802,463.62547948081,3.87275585813787,1.24541045391453,4.77557568131637,2.52491655352106
"802","1420100155764H",42177322560000,29.29211,-97.39304,11831,463.70910516343,3.84931903619695,1.24227711231758,4.76033693729732,2.52636746710561
"803","1420100155765H",42177323590000,29.28803,-97.39593,11801,463.760942356459,3.84696844480607,1.24890134683053,4.80126561844791,2.52563478316964
"804","1420100155766H",42177323650000,29.29112,-97.39444,11862,463.65834236713,3.86268472726102,1.24364039941259,4.76612555445572,2.52556249514301
"805","1420100155767H",42177324120000,29.28466,-97.40172,11712,463.497306681,3.91435820207771,1.25277247078066,4.82315475227712,2.5230547872534
"806","1420100155768H",42177324130000,29.28453,-97.40178,11710,463.501722816758,3.91366192513145,1.25298993427336,4.82485193404796,2.52308022624218
"807","1420100155911H",42177321610000,29.22502,-97.69823,7428,451.281907447348,10.1655104392565,0.986399704524963,1.96933148439908,2.49877939378449
"808","1420100156181H",42177322500000,29.31861,-97.48232,9864,455.518891761288,6.12073114594971,1.13226503838229,3.72889225354527,2.49421752168836
"809","1420100156182H",42177322510000,29.32106,-97.4796,9820,455.483701619035,6.09303204851848,1.13131261953035,3.72195708130096,2.49322153997343
"810","1420100156183H",42177323200000,29.31759,-97.48689,9901,455.342997258472,6.20944489247565,1.12928460852415,3.70038076858707,2.49507460223743
"811","1420100156184H",42177322630000,29.32145,-97.47353,9876,455.800629725256,5.9634710305949,1.13638208286675,3.76957028034068,2.49250433416781
"812","1420100156411H",42177323030000,29.48798,-97.27515,10952,455.674036561257,4.02240811586406,1.01818430678783,3.25772775950221,2.65141382693031
"813","1420100156412H",42177323050000,29.48313,-97.27628,11019,456.030417966415,3.99979488514103,1.02287663570905,3.29021674355682,2.64751852729172
"814","1420100156414H",42177322980000,29.47546,-97.27727,10988,456.669382053129,3.9466859043943,1.03098496355307,3.36328065029803,2.64633363544994
"815","1420100156415H",42177322710000,29.47143,-97.27913,11048,456.894593081586,3.94332116690618,1.034417786862,3.38474531815405,2.64056184031896
"816","1420100156416H",42177323080000,29.48303,-97.27617,10954,456.049166159825,3.99672118150708,1.02306681035242,3.29317692982802,2.64808661058549
"817","1420100156417H",42177323060000,29.47556,-97.27715,11002,456.670090500731,3.94535052624648,1.03094999532778,3.36394372369353,2.64680744090347
"818","1420100156461H",42177323910000,29.65152,-97.19329,9596,452.516914279649,4.03920040139453,0.947852313763837,5.39199393883212,2.77620144401205
"819","14201001565210H",42177325180000,29.4419,-97.32439,10742,456.16884315682,4.47542283909628,1.04559643918218,3.29455742126495,2.53739186412806
"820","1420100156521H",42177323760000,29.43692,-97.31566,10879,457.2749894135,4.25934195492331,1.05576302720172,3.44859053638619,2.56090793291428
"821","1420100156522H",42177323790000,29.43694,-97.31562,10907,457.276147129613,4.25882914762803,1.0557570859199,3.44867398142841,2.56097654301976
