UWI,State,County Name,District Name,Latitude,Longitude
42163001110000,TX,FRIO,RR DISTRICT 01,29.0650692,-98.87850952
42163001120000,TX,FRIO,RR DISTRICT 01,29.06944084,-98.86401367
42163007140002,TX,FRIO,RR DISTRICT 01,28.93306923,-98.87612915
42163008150000,TX,FRIO,RR DISTRICT 01,28.75069046,-98.88961029
42163008810000,TX,FRIO,RR DISTRICT 01,28.76432991,-98.87332916
42163010990000,TX,FRIO,RR DISTRICT 01,28.97270966,-99.01902771
42163011810000,TX,FRIO,RR DISTRICT 01,28.83210945,-99.19619751
42163012040000,TX,FRIO,RR DISTRICT 01,28.80661011,-99.2075119
42163012050000,TX,FRIO,RR DISTRICT 01,28.82147026,-99.23002625
42163012120000,TX,FRIO,RR DISTRICT 01,28.82781982,-99.23448944
42163014350000,TX,FRIO,RR DISTRICT 01,28.9957695,-99.37451172
42163014370000,TX,FRIO,RR DISTRICT 01,28.97789955,-99.40496826
42163014750000,TX,FRIO,RR DISTRICT 01,28.80677032,-99.25512695
42163015390000,TX,FRIO,RR DISTRICT 01,28.7481308,-98.88981628
42163016630000,TX,FRIO,RR DISTRICT 01,29.06378937,-99.29315948
42163300890000,TX,FRIO,RR DISTRICT 01,28.78528976,-99.34999084
42163300940000,TX,FRIO,RR DISTRICT 01,28.84642029,-99.18591309
42163301030000,TX,FRIO,RR DISTRICT 01,28.8241806,-99.21692657
42163301340000,TX,FRIO,RR DISTRICT 01,28.84433937,-99.18930054
42163301640000,TX,FRIO,RR DISTRICT 01,28.85436058,-99.10877228
42163301680000,TX,FRIO,RR DISTRICT 01,28.88401031,-99.05420685
42163301690000,TX,FRIO,RR DISTRICT 01,28.87331963,-99.0891037
42163301800000,TX,FRIO,RR DISTRICT 01,28.84107018,-99.18753052
42163301830000,TX,FRIO,RR DISTRICT 01,28.91394997,-98.96489716
42163301850000,TX,FRIO,RR DISTRICT 01,28.9011898,-99.0520401
42163301900000,TX,FRIO,RR DISTRICT 01,28.82575035,-99.14054108
42163301920000,TX,FRIO,RR DISTRICT 01,28.82132912,-99.14761353
42163302060000,TX,FRIO,RR DISTRICT 01,28.75254059,-99.31507874
42163302120000,TX,FRIO,RR DISTRICT 01,28.83267975,-99.12898254
42163302130000,TX,FRIO,RR DISTRICT 01,28.79108047,-99.23406219
42163302270000,TX,FRIO,RR DISTRICT 01,28.90670013,-98.96243286
42163302320000,TX,FRIO,RR DISTRICT 01,28.82986069,-99.1259613
42163302400000,TX,FRIO,RR DISTRICT 01,28.79129982,-99.24716949
